income_1_avg,income_2_avg,networth_1_avg,networth_2_avg,hshold_lifestage_last,newid_trips,trip_ids,trip_seq_nb, bkng_dt , arvl_dt ,nght_cnt, prev_dprt_dt ,tot_amt,gst_cnt_sum,gst_jnr,gst_chld,gst_ifnt
0,0,0,0,NULL,500295850,4000,1," 40,968.79 "," 41,342.79 ",4, NULL ,152.6145241,2,1,0,0
27500,25000,62500,250000,ADULTS,0,0,NULL, NULL , NULL ,NULL, NULL ,0,NULL,NULL,NULL,NULL
27500,25000,62500,250000,ADULTS,0,0,NULL, NULL , NULL ,NULL, NULL ,0,NULL,NULL,NULL,NULL
27500,25000,62500,250000,ADULTS,500302099,68746668,3," 41,182.83 "," 41,206.83 ",7," 40,851.83 ",940.5707769,3,1,1,0
27500,25000,62500,250000,ADULTS,500302099,70177713,4," 41,428.83 "," 41,572.83 ",7," 41,213.83 ",371.389112,3,0,1,0
27500,25000,62500,250000,ADULTS,500302099,71579555,7," 41,655.79 "," 41,937.83 ",6," 41,784.83 ",206.4315868,4,1,0,0
27500,25000,62500,250000,ADULTS,500302099,71634851,5," 41,689.79 "," 41,723.83 ",3," 41,579.83 ",999.5788007,3,1,0,0
27500,25000,62500,250000,ADULTS,500302099,71711257,6," 41,736.83 "," 41,780.83 ",4," 41,726.83 ",1137.393518,4,1,0,0
27500,25000,62500,250000,ADULTS,500302099,72054433,8," 41,947.79 "," 42,002.79 ",4," 41,943.83 ",1875.977175,3,1,0,0
27500,25000,62500,250000,ADULTS,500302099,72127637,10," 41,992.79 "," 42,305.83 ",6," 42,165.83 ",515.3150377,4,1,0,0
27500,25000,62500,250000,ADULTS,500302099,72132371,9," 41,995.79 "," 42,159.83 ",6," 42,006.79 ",5.618880332,4,1,0,0
27500,25000,62500,250000,ADULTS,500302099,73326009,11," 42,094.83 "," 42,366.79 ",6," 42,311.79 ",2161.400813,3,1,0,0
27500,25000,62500,250000,ADULTS,500302099,73665904,13," 42,303.83 "," 42,671.83 ",5," 42,512.83 ",328.9098195,4,1,0,0
27500,25000,62500,250000,ADULTS,500302099,74877409,14," 42,413.79 "," 42,692.79 ",6," 42,676.83 ",0,4,1,0,0
27500,25000,62500,250000,ADULTS,500302099,74992845,12," 42,484.83 "," 42,509.83 ",3," 42,372.79 ",0,4,1,0,0
27500,25000,62500,250000,ADULTS,500302099,75173389,21," 42,595.83 "," 43,035.83 ",8," 42,893.83 ",22.96483194,4,1,0,0
27500,25000,62500,250000,ADULTS,500302099,75189588,16," 42,605.83 "," 42,748.79 ",3," 42,726.79 ",0,3,1,0,0
27500,25000,62500,250000,ADULTS,500302099,75189588,17," 42,605.83 "," 42,783.79 ",3," 42,751.79 ",0,4,1,0,0
27500,25000,62500,250000,ADULTS,500302099,75240126,15," 42,636.83 "," 42,719.79 ",7," 42,698.79 ",0,4,1,0,0
27500,25000,62500,250000,ADULTS,500302099,76435223,19," 42,737.79 "," 42,873.83 ",2," 42,834.83 ",0,4,1,0,0
27500,25000,62500,250000,ADULTS,500302099,76567091,22," 42,818.83 "," 43,077.79 ",3," 43,043.83 ",0,4,1,0,0
27500,25000,62500,250000,ADULTS,500302099,76578393,18," 42,825.83 "," 42,831.83 ",3," 42,786.79 ",0,3,1,0,0
27500,25000,62500,250000,ADULTS,500302099,76662944,20," 42,877.83 "," 42,890.83 ",3," 42,875.83 ",0,4,1,0,0
27500,25000,62500,250000,ADULTS,500302099,76662949,23," 42,877.83 "," 43,111.79 ",4," 43,080.79 ",0,4,1,0,0
27500,25000,62500,250000,ADULTS,500302099,76742718,24," 42,926.83 "," 43,147.79 ",3," 43,115.79 ",0,4,1,0,0
27500,25000,62500,250000,ADULTS,500302099,77020771,27," 43,097.79 "," 43,343.83 ",3," 43,240.83 ",0,4,1,0,0
27500,25000,62500,250000,ADULTS,500302099,78103712,28," 43,128.79 "," 43,460.79 ",8," 43,346.83 ",0,4,1,0,0
27500,25000,62500,250000,ADULTS,500302099,78160732,25," 43,163.79 "," 43,195.83 ",2," 43,150.79 ",624.4862821,4,1,0,0
27500,25000,62500,250000,ADULTS,500302099,78175318,26," 43,172.83 "," 43,237.83 ",3," 43,197.83 ",1285.350261,4,1,0,0
27500,25000,62500,250000,ADULTS,500302099,78619173,29," 43,445.79 "," 43,503.79 ",5," 43,468.79 ",0,4,1,0,0
27500,25000,62500,250000,ADULTS,500302099,79690927,31," 43,469.79 "," 43,706.83 ",4," 43,546.83 ",1616.075634,4,1,0,0
27500,25000,62500,250000,ADULTS,500302099,79785204,30," 43,527.79 "," 43,542.83 ",4," 43,508.79 ",528.9412668,4,1,0,0
27500,25000,62500,250000,TEEN,0,0,NULL, NULL , NULL ,NULL, NULL ,0,NULL,NULL,NULL,NULL
27500,25000,62500,250000,TEEN,500302100,68746668,3," 41,182.83 "," 41,206.83 ",7," 40,851.83 ",1722.923742,3,1,1,0
27500,25000,62500,250000,TEEN,500302100,70177713,4," 41,428.83 "," 41,572.83 ",7," 41,213.83 ",232.2323656,3,0,1,0
27500,25000,62500,250000,TEEN,500302100,71579555,7," 41,655.79 "," 41,937.83 ",6," 41,784.83 ",183.665685,4,1,0,0
27500,25000,62500,250000,TEEN,500302100,71634851,5," 41,689.79 "," 41,723.83 ",3," 41,579.83 ",689.1699275,3,1,0,0
27500,25000,62500,250000,TEEN,500302100,71711257,6," 41,736.83 "," 41,780.83 ",4," 41,726.83 ",250.4082713,4,1,0,0
