"customer_id","hshold_lifestage_last","income_1_avg","income_2_avg","networth_1_avg","networth_2_avg","trip_seq_nb","bkng_dt","arvl_dt","nght_cnt","tot_amt","gst_cnt_sum","new_lifestage_id","min_arvl_dt","max_arvl_dt","customer_lifetime","diff_btwn_dates_in_days","churn_probabilities","ecdf_probabilities","churn_flag"
4,"ADULTS",25000,18750,25000,125000,7,"2016-11-20","2017-06-19",8,0,4,5,"2012-05-25","2020-01-01",2777,2798.04166666667,0.157126168224299,0.842873831775701,0
4,"ADULTS",25000,18750,25000,125000,9,"2018-09-27","2018-11-16",4,639.5068341,4,5,"2012-05-25","2020-01-01",2777,2798.04166666667,0.157126168224299,0.842873831775701,0
4,"ADULTS",25000,18750,25000,125000,8,"2018-01-30","2018-06-25",9,0,4,5,"2012-05-25","2020-01-01",2777,2798.04166666667,0.157126168224299,0.842873831775701,0
4,"ADULTS",25000,18750,25000,125000,4,"2015-06-11","2015-07-07",3,0,4,5,"2012-05-25","2020-01-01",2777,2798.04166666667,0.157126168224299,0.842873831775701,0
4,"ADULTS",25000,18750,25000,125000,11,"2019-06-01","2020-01-01",5,0,5,5,"2012-05-25","2020-01-01",2777,2798.04166666667,0.157126168224299,0.842873831775701,0
4,"ADULTS",25000,18750,25000,125000,5,"2015-07-26","2015-10-12",8,0,14,5,"2012-05-25","2020-01-01",2777,2798.04166666667,0.157126168224299,0.842873831775701,0
4,"ADULTS",25000,18750,25000,125000,6,"2015-08-22","2016-03-22",7,0,6,5,"2012-05-25","2020-01-01",2777,2798.04166666667,0.157126168224299,0.842873831775701,0
4,"ADULTS",25000,18750,25000,125000,10,"2018-08-18","2019-03-18",7,0,4,5,"2012-05-25","2020-01-01",2777,2798.04166666667,0.157126168224299,0.842873831775701,0
4,"ADULTS",25000,18750,25000,125000,2,"2011-12-31","2012-05-25",6,178.9302412,5,5,"2012-05-25","2020-01-01",2777,2798.04166666667,0.157126168224299,0.842873831775701,0
4,"ADULTS",25000,18750,25000,125000,3,"2014-08-30","2015-03-23",3,321.7718338,5,5,"2012-05-25","2020-01-01",2777,2798.04166666667,0.157126168224299,0.842873831775701,0
5,"TEEN",37500,12500,25000,62500,2,"2018-01-03","2018-03-14",3,155.9781445,3,2,"2013-01-11","2018-03-14",1888,2140,0.808995327102804,0.191004672897196,1
5,"TEEN",37500,12500,25000,62500,1,"2012-02-29","2013-01-11",7,521.2356796,2,2,"2013-01-11","2018-03-14",1888,2140,0.808995327102804,0.191004672897196,1
6,"ADULTS",18750,3750,62500,5e+05,2,"2015-08-16","2016-04-09",8,203.9334293,8,5,"2012-11-23","2019-11-26",2559,2762.04166666667,0.219918224299065,0.780081775700935,0
6,"ADULTS",18750,3750,62500,5e+05,1,"2012-09-30","2012-11-23",7,374.8498545,4,5,"2012-11-23","2019-11-26",2559,2762.04166666667,0.219918224299065,0.780081775700935,0
6,"ADULTS",18750,3750,62500,5e+05,3,"2019-01-13","2019-11-26",6,157.7724231,4,5,"2012-11-23","2019-11-26",2559,2762.04166666667,0.219918224299065,0.780081775700935,0
7,"TWEEN",20000,31250,25000,125000,4,"2013-09-09","2013-10-03",2,67.13632234,3,7,"2012-11-22","2013-10-03",315,517,0.992114485981308,0.00788551401869159,1
7,"TWEEN",20000,31250,25000,125000,3,"2013-02-19","2013-03-14",2,40.48830887,4,7,"2012-11-22","2013-10-03",315,517,0.992114485981308,0.00788551401869159,1
7,"TWEEN",20000,31250,25000,125000,2,"2012-09-30","2012-11-22",2,166.0739905,4,7,"2012-11-22","2013-10-03",315,517,0.992114485981308,0.00788551401869159,1
8,"TWEEN",41375,18750,62500,462500,10,"2017-11-27","2018-06-15",4,0,7,7,"2012-12-06","2020-06-12",2745,2961,0.0569509345794392,0.943049065420561,0
8,"TWEEN",41375,18750,62500,462500,4,"2013-05-11","2014-02-06",4,0,3,7,"2012-12-06","2020-06-12",2745,2961,0.0569509345794392,0.943049065420561,0
8,"TWEEN",41375,18750,62500,462500,7,"2015-11-27","2016-10-27",3,0,3,7,"2012-12-06","2020-06-12",2745,2961,0.0569509345794392,0.943049065420561,0
8,"TWEEN",41375,18750,62500,462500,12,"2019-04-10","2019-10-09",1,0,3,7,"2012-12-06","2020-06-12",2745,2961,0.0569509345794392,0.943049065420561,0
8,"TWEEN",41375,18750,62500,462500,14,"2019-04-14","2020-03-14",2,0,4,7,"2012-12-06","2020-06-12",2745,2961,0.0569509345794392,0.943049065420561,0
8,"TWEEN",41375,18750,62500,462500,9,"2018-02-12","2018-05-11",6,3434.249365,6,7,"2012-12-06","2020-06-12",2745,2961,0.0569509345794392,0.943049065420561,0
8,"TWEEN",41375,18750,62500,462500,6,"2015-06-21","2016-05-21",4,0,4,7,"2012-12-06","2020-06-12",2745,2961,0.0569509345794392,0.943049065420561,0
8,"TWEEN",41375,18750,62500,462500,11,"2018-06-09","2018-11-15",3,1404.756741,3,7,"2012-12-06","2020-06-12",2745,2961,0.0569509345794392,0.943049065420561,0
8,"TWEEN",41375,18750,62500,462500,8,"2016-01-09","2016-12-09",4,0,5,7,"2012-12-06","2020-06-12",2745,2961,0.0569509345794392,0.943049065420561,0
8,"TWEEN",41375,18750,62500,462500,5,"2014-02-25","2014-10-16",3,0,3,7,"2012-12-06","2020-06-12",2745,2961,0.0569509345794392,0.943049065420561,0
8,"TWEEN",41375,18750,62500,462500,13,"2019-02-17","2019-10-13",4,852.5251207,3,7,"2012-12-06","2020-06-12",2745,2961,0.0569509345794392,0.943049065420561,0
8,"TWEEN",41375,18750,62500,462500,15,"2019-03-06","2020-06-12",9,3975.64294,3,7,"2012-12-06","2020-06-12",2745,2961,0.0569509345794392,0.943049065420561,0
8,"TWEEN",41375,18750,62500,462500,3,"2012-02-29","2012-12-06",4,0,3,7,"2012-12-06","2020-06-12",2745,2961,0.0569509345794392,0.943049065420561,0
9,"SENIORS",15000,18750,25000,62500,45,"2019-01-21","2019-05-19",2,0,4,1,"2012-05-12","2019-06-02",2577,2585,0.494742990654206,0.505257009345794,0
9,"SENIORS",15000,18750,25000,62500,33,"2015-03-06","2015-03-26",1,0,3,1,"2012-05-12","2019-06-02",2577,2585,0.494742990654206,0.505257009345794,0
9,"SENIORS",15000,18750,25000,62500,46,"2019-01-21","2019-05-26",1,0,4,1,"2012-05-12","2019-06-02",2577,2585,0.494742990654206,0.505257009345794,0
9,"SENIORS",15000,18750,25000,62500,19,"2012-03-28","2012-06-28",5,462.2363567,1,1,"2012-05-12","2019-06-02",2577,2585,0.494742990654206,0.505257009345794,0
9,"SENIORS",15000,18750,25000,62500,44,"2019-01-21","2019-05-11",2,0,4,1,"2012-05-12","2019-06-02",2577,2585,0.494742990654206,0.505257009345794,0
9,"SENIORS",15000,18750,25000,62500,41,"2018-04-13","2018-04-29",1,0,1,1,"2012-05-12","2019-06-02",2577,2585,0.494742990654206,0.505257009345794,0
9,"SENIORS",15000,18750,25000,62500,26,"2012-09-06","2013-01-17",8,0,1,1,"2012-05-12","2019-06-02",2577,2585,0.494742990654206,0.505257009345794,0
9,"SENIORS",15000,18750,25000,62500,34,"2015-01-20","2015-04-20",4,219.7498307,2,1,"2012-05-12","2019-06-02",2577,2585,0.494742990654206,0.505257009345794,0
9,"SENIORS",15000,18750,25000,62500,42,"2018-04-23","2018-05-13",1,0,3,1,"2012-05-12","2019-06-02",2577,2585,0.494742990654206,0.505257009345794,0
9,"SENIORS",15000,18750,25000,62500,39,"2017-06-24","2017-07-13",1,0,3,1,"2012-05-12","2019-06-02",2577,2585,0.494742990654206,0.505257009345794,0
